Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
ELEC02155,Rajan Ghosh,Televisions,LED TVs,Visakhapatnam,11-01-2020,South,77567.4,0.0,4180.84,Andhra Pradesh
ELEC01223,Sakshi Gupta,Gaming,Gaming Consoles,Raipur,11-01-2020,Central,21229.38,0.35,-2068.41,Chhattisgarh
ELEC02413,Bhavna Rajan,Networking,Switches,Chennai,12-01-2020,South,7850.75,0.2,990.94,Tamil Nadu
ELEC02989,Vishal Rajan,Laptops & Computers,Computer Peripherals,Raipur,12-01-2020,Central,126012.58,0.05,10351.03,Chhattisgarh
ELEC03128,Sneha Reddy,Home Appliances,Air Conditioners,Guwahati,12-01-2020,East,30558.27,0.1,706.49,Assam
ELEC00397,Nikhil Singh,Gaming,Gaming Laptops,Mysuru,14-01-2020,South,39713.38,0.4,-2316.2,Karnataka
ELEC04035,Rohit Das,Home Appliances,Refrigerators,Mysuru,14-01-2020,South,10083.49,0.3,-1032.63,Karnataka
ELEC03386,Poonam Mehta,Wearables & Fitness,Wireless Earbuds,Thiruvananthapuram,14-01-2020,South,26005.25,0.15,282.42,Kerala
ELEC01879,Dhruv Malhotra,Networking,Routers,Bengaluru,15-01-2020,South,1483.19,0.0,171.31,Karnataka
ELEC01156,Priya Pillai,Televisions,Projectors,Mysuru,15-01-2020,South,118657.12,0.05,1321.93,Karnataka
ELEC01689,Tanvi Sharma,Laptops & Computers,Storage Devices,Delhi,15-01-2020,North,55916.53,0.2,352.85,Delhi
ELEC01627,Mahesh Patel,Laptops & Computers,Storage Devices,Coimbatore,15-01-2020,South,136903.12,0.1,3659.35,Tamil Nadu
ELEC03057,Vaishnavi Chauhan,Gaming,Gaming Laptops,Jaipur,15-01-2020,North,10544.26,0.25,-567.89,Rajasthan
ELEC04005,Sanvi Verma,Televisions,OLED TVs,Ahmedabad,16-01-2020,West,59445.91,0.4,-7643.94,Gujarat
ELEC04205,Kavya Bose,Gaming,Gaming Peripherals,Patna,16-01-2020,East,68563.6,0.1,5207.0,Bihar
ELEC03322,Shalini Mishra,Audio & Headphones,Home Theatre,Noida,16-01-2020,North,1796.98,0.4,-7.1,Uttar Pradesh
ELEC01065,Rahul Mishra,Networking,Switches,Jaipur,17-01-2020,North,3289.22,0.2,205.79,Rajasthan
ELEC03680,Nikhil Rao,Laptops & Computers,Storage Devices,Jaipur,17-01-2020,North,46420.82,0.4,-4650.08,Rajasthan
ELEC00371,Suresh Sharma,Televisions,Projectors,Mumbai,17-01-2020,West,22048.24,0.15,271.93,Maharashtra
ELEC00395,Bhavna Kapoor,Laptops & Computers,Computer Peripherals,Amritsar,17-01-2020,North,125566.03,0.2,-2624.94,Punjab
ELEC02741,Vikram Mehta,Mobiles & Tablets,Feature Phones,Ahmedabad,17-01-2020,West,48783.37,0.4,-9748.33,Gujarat
ELEC01232,Ekta Rao,Mobiles & Tablets,Feature Phones,Coimbatore,17-01-2020,South,6816.49,0.25,-339.78,Tamil Nadu
ELEC03667,Shruti Malhotra,Mobiles & Tablets,Tablets,Kolkata,17-01-2020,East,79433.46,0.1,5723.27,West Bengal
ELEC00783,Aarav Chauhan,Televisions,OLED TVs,Bhubaneswar,18-01-2020,East,120013.57,0.1,2111.32,Odisha
ELEC03799,Divya Das,Laptops & Computers,Computer Peripherals,Mysuru,18-01-2020,South,115851.9,0.3,-9678.68,Karnataka
ELEC04924,Sakshi Yadav,Home Appliances,Refrigerators,Amritsar,19-01-2020,North,32192.05,0.2,-421.39,Punjab
ELEC03983,Jaya Nair,Wearables & Fitness,Wireless Earbuds,Ahmedabad,19-01-2020,West,20435.57,0.4,-934.95,Gujarat
ELEC00598,Zara Ghosh,Televisions,OLED TVs,Kolkata,20-01-2020,East,141007.45,0.3,-3574.05,West Bengal
ELEC00488,Jaya Shah,Laptops & Computers,Storage Devices,Amritsar,20-01-2020,North,46323.89,0.1,964.66,Punjab
ELEC02855,Aarav Malhotra,Laptops & Computers,Computer Peripherals,Pune,20-01-2020,West,145691.68,0.1,7030.98,Maharashtra
ELEC04237,Neha Joshi,Wearables & Fitness,Smart Glasses,Surat,21-01-2020,West,14734.69,0.25,2070.07,Gujarat
ELEC01070,Aarav Mishra,Home Appliances,Air Conditioners,Ranchi,21-01-2020,East,19133.88,0.1,1863.47,Jharkhand
ELEC00560,Sanjay Bose,Cameras & Photography,Mirrorless Cameras,Ranchi,22-01-2020,East,56245.91,0.4,-9309.34,Jharkhand
ELEC00876,Rajan Chauhan,Networking,Routers,Pune,22-01-2020,West,9594.02,0.2,-313.17,Maharashtra
ELEC04427,Manish Menon,Cameras & Photography,Camera Lenses,Kolkata,22-01-2020,East,85508.2,0.2,1878.31,West Bengal
ELEC01112,Shruti Verma,Gaming,Games & Software,Kolkata,22-01-2020,East,22109.42,0.3,374.17,West Bengal
ELEC03495,Riya Verma,Laptops & Computers,Monitors,Indore,22-01-2020,Central,156502.86,0.0,13794.84,Madhya Pradesh
ELEC01293,Meera Sinha,Mobiles & Tablets,Feature Phones,Lucknow,23-01-2020,North,21610.93,0.4,-4000.07,Uttar Pradesh
ELEC04367,Manish Rajan,Gaming,Gaming Laptops,Guwahati,23-01-2020,East,33126.47,0.15,2179.44,Assam
ELEC01990,Vishal Kumar,Gaming,Gaming Consoles,Pune,23-01-2020,West,27514.75,0.15,540.79,Maharashtra
ELEC02814,Lalita Mishra,Laptops & Computers,Desktops,Chandigarh,24-01-2020,North,10440.63,0.2,751.47,Punjab
ELEC00504,Farhan Verma,Wearables & Fitness,Fitness Bands,Chandigarh,24-01-2020,North,27784.57,0.4,1067.27,Punjab
ELEC04641,Aarav Patel,Laptops & Computers,Laptops,Chandigarh,25-01-2020,North,117139.05,0.2,6620.5,Punjab
ELEC00409,Gaurav Gupta,Networking,Switches,Kochi,25-01-2020,South,2679.73,0.05,500.2,Kerala
ELEC00606,Kunal Sharma,Audio & Headphones,Soundbars,Bhubaneswar,25-01-2020,East,35158.48,0.4,-2390.28,Odisha
ELEC03044,Tejas Menon,Gaming,Gaming Consoles,Indore,26-01-2020,Central,5500.53,0.0,847.37,Madhya Pradesh
ELEC01610,Vaishnavi Ghosh,Gaming,Games & Software,Jaipur,26-01-2020,North,43120.8,0.25,-145.18,Rajasthan
ELEC04867,Ishan Chauhan,Laptops & Computers,Desktops,Patna,26-01-2020,East,136825.73,0.1,956.19,Bihar
ELEC03879,Jaya Singh,Audio & Headphones,Soundbars,Ahmedabad,26-01-2020,West,5384.53,0.2,374.23,Gujarat
ELEC01264,Geeta Sinha,Mobiles & Tablets,Feature Phones,Guwahati,28-01-2020,East,30453.31,0.05,1445.68,Assam
ELEC01263,Divya Krishnan,Audio & Headphones,Earphones,Coimbatore,28-01-2020,South,25421.36,0.3,-589.82,Tamil Nadu
ELEC00480,Mahesh Mishra,Wearables & Fitness,Wireless Earbuds,Amritsar,29-01-2020,North,21698.47,0.0,4486.3,Punjab
ELEC04992,Siddharth Shah,Televisions,Projectors,Mysuru,29-01-2020,South,198913.58,0.15,-684.03,Karnataka
ELEC00879,Dhruv Pillai,Networking,Switches,Raipur,29-01-2020,Central,12226.77,0.05,817.33,Chhattisgarh
ELEC00115,Rajan Ghosh,Gaming,Gaming Consoles,Patna,29-01-2020,East,3033.15,0.15,253.47,Bihar
ELEC01119,Siddharth Sharma,Televisions,LED TVs,Thiruvananthapuram,30-01-2020,South,193653.63,0.15,-7559.0,Kerala
ELEC04797,Priya Mishra,Networking,Network Adapters,Jaipur,30-01-2020,North,3859.39,0.25,-237.83,Rajasthan
ELEC03968,Aditya Menon,Networking,Network Adapters,Chandigarh,30-01-2020,North,16552.75,0.1,908.72,Punjab
ELEC04743,Suresh Ghosh,Networking,Switches,Bhubaneswar,30-01-2020,East,18555.52,0.2,2355.99,Odisha
ELEC00803,Harini Singh,Mobiles & Tablets,Mobile Accessories,Hyderabad,30-01-2020,South,109139.93,0.0,8073.69,Telangana
ELEC00698,Siddharth Pillai,Gaming,Games & Software,Amritsar,31-01-2020,North,11252.1,0.15,69.8,Punjab
ELEC00740,Priya Gupta,Home Appliances,Air Conditioners,Kochi,01-02-2020,South,49241.78,0.2,-2491.06,Kerala
ELEC01464,Nikhil Singh,Networking,Network Adapters,Mysuru,01-02-2020,South,3137.71,0.3,-64.49,Karnataka
ELEC03488,Deepika Iyer,Audio & Headphones,Home Theatre,Pune,02-02-2020,West,27723.74,0.05,5146.66,Maharashtra
ELEC02803,Harini Rao,Mobiles & Tablets,Smartphones,Patna,02-02-2020,East,8866.39,0.1,154.09,Bihar
ELEC02231,Riya Verma,Networking,Routers,Hyderabad,02-02-2020,South,4434.25,0.3,-106.22,Telangana
ELEC01674,Vishal Mishra,Gaming,Gaming Consoles,Amritsar,03-02-2020,North,75018.86,0.0,15459.67,Punjab
ELEC02206,Amit Rajan,Televisions,Projectors,Gurgaon,03-02-2020,North,95097.11,0.4,-15723.69,Haryana
ELEC04250,Sanvi Ghosh,Home Appliances,Refrigerators,Patna,03-02-2020,East,31363.74,0.3,-1747.66,Bihar
ELEC01162,Shalini Iyer,Gaming,Games & Software,Raipur,04-02-2020,Central,59759.99,0.0,13015.07,Chhattisgarh
ELEC03624,Rahul Gupta,Cameras & Photography,Mirrorless Cameras,Raipur,04-02-2020,Central,1521.42,0.25,10.52,Chhattisgarh
ELEC02291,Anjali Gupta,Audio & Headphones,Earphones,Gurgaon,04-02-2020,North,10834.31,0.2,-363.2,Haryana
ELEC03618,Dhruv Mishra,Home Appliances,Washing Machines,Mumbai,04-02-2020,West,26554.8,0.25,720.53,Maharashtra
ELEC03855,Siddharth Joshi,Audio & Headphones,Home Theatre,Noida,05-02-2020,North,34216.48,0.1,7395.29,Uttar Pradesh
ELEC02168,Bhavna Pillai,Home Appliances,Washing Machines,Bhubaneswar,05-02-2020,East,48733.28,0.4,-8381.73,Odisha
ELEC01114,Kavya Krishnan,Televisions,Projectors,Bhubaneswar,06-02-2020,East,32865.72,0.2,689.77,Odisha
ELEC01361,Aditya Nair,Gaming,Gaming Laptops,Ahmedabad,06-02-2020,West,38168.85,0.3,-3136.43,Gujarat
ELEC02042,Pooja Rao,Laptops & Computers,Monitors,Chandigarh,07-02-2020,North,32589.47,0.15,1362.1,Punjab
ELEC03737,Manish Bose,Networking,Network Adapters,Patna,07-02-2020,East,1813.38,0.3,102.7,Bihar
ELEC02866,Mahesh Banerjee,Wearables & Fitness,Smartwatches,Surat,08-02-2020,West,27411.04,0.35,-2133.81,Gujarat
ELEC03249,Bhavna Tiwari,Laptops & Computers,Monitors,Mumbai,09-02-2020,West,70171.18,0.3,-548.9,Maharashtra
ELEC02680,Vaishnavi Rao,Cameras & Photography,Camera Lenses,Nashik,09-02-2020,West,90591.86,0.0,12721.32,Maharashtra
ELEC03772,Sakshi Banerjee,Gaming,Gaming Laptops,Raipur,10-02-2020,Central,45653.34,0.4,-7540.25,Chhattisgarh
ELEC02953,Bhavna Kapoor,Wearables & Fitness,Smartwatches,Nashik,10-02-2020,West,19921.55,0.25,-597.3,Maharashtra
ELEC01043,Neha Rao,Mobiles & Tablets,Smartphones,Indore,10-02-2020,Central,48564.78,0.15,594.48,Madhya Pradesh
ELEC00902,Siddharth Reddy,Networking,Network Adapters,Mumbai,11-02-2020,West,991.02,0.3,-3.4,Maharashtra
ELEC01746,Rahul Joshi,Televisions,OLED TVs,Noida,12-02-2020,North,96905.51,0.15,-3154.74,Uttar Pradesh
ELEC03801,Aryan Singh,Mobiles & Tablets,Feature Phones,Nagpur,13-02-2020,West,51733.85,0.2,-1687.22,Maharashtra
ELEC01247,Vishal Menon,Laptops & Computers,Computer Peripherals,Patna,14-02-2020,East,13752.1,0.3,-707.35,Bihar
ELEC02903,Uday Rajan,Mobiles & Tablets,Mobile Accessories,Indore,14-02-2020,Central,67903.12,0.25,-305.89,Madhya Pradesh
ELEC03349,Tejas Gupta,Wearables & Fitness,Fitness Bands,Mysuru,14-02-2020,South,7913.8,0.2,962.57,Karnataka
ELEC01343,Vikram Menon,Laptops & Computers,Computer Peripherals,Nagpur,14-02-2020,West,130283.97,0.15,2425.89,Maharashtra
ELEC02598,Aarav Joshi,Audio & Headphones,Bluetooth Speakers,Mumbai,14-02-2020,West,23042.61,0.05,2145.39,Maharashtra
ELEC02490,Arjun Chauhan,Wearables & Fitness,Smartwatches,Chandigarh,16-02-2020,North,28899.4,0.15,1052.05,Punjab
ELEC03283,Aarav Malhotra,Home Appliances,Air Conditioners,Guwahati,16-02-2020,East,28193.52,0.2,-570.59,Assam
ELEC04040,Rohit Chauhan,Audio & Headphones,Headphones,Bhubaneswar,17-02-2020,East,2602.97,0.35,-143.41,Odisha
ELEC01347,Aditya Ghosh,Audio & Headphones,Home Theatre,Mumbai,17-02-2020,West,42350.09,0.05,3750.91,Maharashtra
ELEC01189,Vishal Joshi,Laptops & Computers,Laptops,Mumbai,17-02-2020,West,14438.81,0.35,-921.03,Maharashtra
ELEC01341,Ishaan Shah,Wearables & Fitness,Smart Glasses,Ranchi,17-02-2020,East,29279.66,0.2,-99.77,Jharkhand
ELEC02811,Sneha Das,Mobiles & Tablets,Mobile Accessories,Pune,18-02-2020,West,62380.62,0.15,-2635.37,Maharashtra
ELEC03357,Anjali Kapoor,Home Appliances,Refrigerators,Surat,19-02-2020,West,62590.11,0.2,1299.05,Gujarat
ELEC02250,Tanvi Mishra,Wearables & Fitness,Smart Glasses,Noida,19-02-2020,North,23319.35,0.15,3579.73,Uttar Pradesh
ELEC00829,Naina Yadav,Gaming,Gaming Peripherals,Mumbai,19-02-2020,West,10009.75,0.35,-127.45,Maharashtra
ELEC02301,Lalita Mehta,Gaming,Gaming Peripherals,Gurgaon,20-02-2020,North,13127.95,0.3,-1207.81,Haryana
ELEC00851,Divya Nair,Laptops & Computers,Computer Peripherals,Patna,20-02-2020,East,146547.01,0.1,13438.54,Bihar
ELEC03122,Priya Banerjee,Wearables & Fitness,Smart Glasses,Chandigarh,20-02-2020,North,15747.93,0.4,858.16,Punjab
ELEC00142,Neha Malhotra,Cameras & Photography,Tripods,Chandigarh,21-02-2020,North,57850.17,0.25,-4203.66,Punjab
ELEC00522,Zara Gupta,Wearables & Fitness,Smart Glasses,Hyderabad,21-02-2020,South,33868.56,0.3,2765.74,Telangana
ELEC03729,Sanvi Krishnan,Home Appliances,Air Conditioners,Noida,21-02-2020,North,45876.66,0.4,-3863.33,Uttar Pradesh
ELEC02526,Ananya Verma,Mobiles & Tablets,Tablets,Nagpur,21-02-2020,West,24648.95,0.4,-2658.14,Maharashtra
ELEC00107,Ekta Reddy,Gaming,Gaming Consoles,Hyderabad,22-02-2020,South,37957.4,0.3,-93.93,Telangana
ELEC04598,Bhavna Shah,Laptops & Computers,Monitors,Gurgaon,22-02-2020,North,36826.98,0.1,3605.3,Haryana
ELEC00417,Priya Kumar,Gaming,Games & Software,Chandigarh,23-02-2020,North,18971.03,0.4,-2438.6,Punjab
ELEC00696,Neha Chauhan,Cameras & Photography,Tripods,Visakhapatnam,23-02-2020,South,96949.34,0.15,6342.2,Andhra Pradesh
ELEC03579,Aryan Patel,Wearables & Fitness,Smartwatches,Mumbai,23-02-2020,West,4471.42,0.2,466.12,Maharashtra
ELEC00891,Vikram Chauhan,Audio & Headphones,Earphones,Noida,24-02-2020,North,6245.42,0.0,1536.76,Uttar Pradesh
ELEC04153,Anjali Tiwari,Audio & Headphones,Bluetooth Speakers,Indore,25-02-2020,Central,21635.8,0.25,1008.2,Madhya Pradesh
ELEC03155,Vishal Yadav,Audio & Headphones,Headphones,Chennai,25-02-2020,South,37362.86,0.05,5233.12,Tamil Nadu
ELEC01587,Naina Yadav,Wearables & Fitness,Wireless Earbuds,Bhubaneswar,25-02-2020,East,22381.31,0.25,1066.73,Odisha
ELEC00930,Tanvi Tiwari,Home Appliances,Air Conditioners,Nagpur,26-02-2020,West,33349.82,0.4,-3137.81,Maharashtra
ELEC03603,Shalini Rajan,Home Appliances,Washing Machines,Mysuru,26-02-2020,South,27358.38,0.35,-1577.55,Karnataka
ELEC01408,Siddharth Kapoor,Home Appliances,Air Conditioners,Patna,26-02-2020,East,22189.55,0.35,-2337.32,Bihar
ELEC03228,Gaurav Shah,Audio & Headphones,Headphones,Raipur,26-02-2020,Central,39990.57,0.0,6178.05,Chhattisgarh
ELEC01919,Jaya Pillai,Wearables & Fitness,Smartwatches,Visakhapatnam,27-02-2020,South,1399.39,0.1,222.06,Andhra Pradesh
ELEC03103,Mahesh Malhotra,Networking,Routers,Nashik,27-02-2020,West,16727.25,0.3,967.81,Maharashtra
ELEC03740,Gaurav Kumar,Cameras & Photography,Camera Lenses,Guwahati,27-02-2020,East,150329.02,0.2,168.41,Assam
ELEC04969,Naina Menon,Laptops & Computers,Monitors,Bhubaneswar,28-02-2020,East,105296.65,0.4,-15032.66,Odisha
ELEC03426,Sakshi Shah,Wearables & Fitness,Fitness Bands,Surat,28-02-2020,West,18630.85,0.3,1242.48,Gujarat
ELEC00726,Chirag Sinha,Mobiles & Tablets,Smartphones,Guwahati,29-02-2020,East,62432.09,0.25,-3405.86,Assam
ELEC01365,Farhan Gupta,Gaming,Games & Software,Patna,29-02-2020,East,72705.1,0.05,11988.5,Bihar
ELEC03067,Nikhil Shah,Mobiles & Tablets,Smartphones,Mysuru,29-02-2020,South,118647.08,0.0,18125.62,Karnataka
ELEC01513,Jaya Joshi,Audio & Headphones,Soundbars,Patna,29-02-2020,East,32795.78,0.35,-321.01,Bihar
ELEC01558,Ananya Mishra,Gaming,Gaming Laptops,Chennai,29-02-2020,South,25881.83,0.4,-1315.08,Tamil Nadu
ELEC02139,Aditya Menon,Networking,Routers,Raipur,01-03-2020,Central,685.31,0.1,38.02,Chhattisgarh
ELEC00388,Divya Pillai,Home Appliances,Washing Machines,Vadodara,01-03-2020,West,54684.53,0.2,1382.52,Gujarat
ELEC01155,Arjun Iyer,Audio & Headphones,Earphones,Kolkata,01-03-2020,East,12459.22,0.3,-935.23,West Bengal
ELEC02217,Chirag Verma,Home Appliances,Air Conditioners,Mumbai,03-03-2020,West,27338.43,0.25,-297.18,Maharashtra
ELEC04176,Meera Rajan,Networking,Modems,Pune,03-03-2020,West,4813.71,0.1,273.2,Maharashtra
ELEC02410,Arjun Mishra,Networking,Routers,Bengaluru,03-03-2020,South,7849.22,0.35,22.53,Karnataka
ELEC02993,Anjali Mehta,Mobiles & Tablets,Feature Phones,Hyderabad,04-03-2020,South,40988.13,0.2,-3034.99,Telangana
ELEC01625,Rahul Patel,Televisions,OLED TVs,Ranchi,04-03-2020,East,103476.48,0.15,-1166.5,Jharkhand
ELEC01476,Rahul Sinha,Home Appliances,Microwaves,Visakhapatnam,04-03-2020,South,65884.54,0.25,-2557.04,Andhra Pradesh
ELEC02765,Amit Yadav,Audio & Headphones,Earphones,Bengaluru,04-03-2020,South,29242.27,0.15,2101.18,Karnataka
ELEC02681,Radhika Verma,Laptops & Computers,Storage Devices,Kolkata,04-03-2020,East,62441.33,0.3,107.9,West Bengal
ELEC00545,Shalini Chauhan,Cameras & Photography,Tripods,Bhopal,04-03-2020,Central,12136.34,0.35,-1079.82,Madhya Pradesh
ELEC04265,Vikram Mehta,Wearables & Fitness,Smart Glasses,Chandigarh,05-03-2020,North,7612.84,0.35,-748.79,Punjab
ELEC00732,Riya Tiwari,Wearables & Fitness,Fitness Bands,Visakhapatnam,05-03-2020,South,26511.97,0.2,3209.36,Andhra Pradesh
ELEC00280,Arjun Malhotra,Home Appliances,Refrigerators,Bengaluru,05-03-2020,South,50310.64,0.0,8628.06,Karnataka
ELEC01460,Ishan Nair,Televisions,OLED TVs,Pune,05-03-2020,West,69423.52,0.3,-5283.2,Maharashtra
ELEC02466,Naina Menon,Televisions,OLED TVs,Surat,06-03-2020,West,77686.07,0.05,1427.04,Gujarat
ELEC03056,Harini Banerjee,Wearables & Fitness,Fitness Bands,Vadodara,07-03-2020,West,10515.18,0.05,970.42,Gujarat
ELEC02888,Bhavna Joshi,Home Appliances,Refrigerators,Kochi,07-03-2020,South,17096.51,0.4,-2350.1,Kerala
ELEC03784,Ishan Menon,Laptops & Computers,Desktops,Chandigarh,07-03-2020,North,72289.4,0.3,-7528.31,Punjab
ELEC03404,Aditya Bose,Laptops & Computers,Laptops,Patna,07-03-2020,East,17918.78,0.1,947.17,Bihar
ELEC00428,Poonam Yadav,Audio & Headphones,Earphones,Surat,07-03-2020,West,39859.82,0.3,2796.22,Gujarat
ELEC02969,Om Das,Gaming,Games & Software,Patna,09-03-2020,East,2394.99,0.15,67.38,Bihar
ELEC02805,Shruti Singh,Gaming,Gaming Peripherals,Coimbatore,09-03-2020,South,78448.46,0.1,12061.89,Tamil Nadu
ELEC04246,Meera Reddy,Mobiles & Tablets,Smartphones,Nashik,10-03-2020,West,53245.23,0.2,-3196.82,Maharashtra
ELEC01186,Shruti Joshi,Home Appliances,Geysers,Kolkata,10-03-2020,East,36923.0,0.1,2640.23,West Bengal
ELEC01487,Gaurav Rajan,Wearables & Fitness,Smart Glasses,Ahmedabad,10-03-2020,West,27519.23,0.35,1061.44,Gujarat
ELEC03104,Sanvi Menon,Gaming,Gaming Consoles,Thiruvananthapuram,11-03-2020,South,14589.05,0.25,-1190.79,Kerala
ELEC00445,Uday Tiwari,Gaming,Gaming Laptops,Thiruvananthapuram,12-03-2020,South,41217.48,0.05,3840.18,Kerala
ELEC01798,Om Shah,Mobiles & Tablets,Mobile Accessories,Mysuru,13-03-2020,South,88290.5,0.05,11476.04,Karnataka
ELEC04165,Vaishnavi Nair,Televisions,Smart TVs,Kolkata,14-03-2020,East,94359.9,0.4,-9890.61,West Bengal
ELEC02383,Rajan Sharma,Cameras & Photography,Tripods,Surat,14-03-2020,West,134188.62,0.25,6124.81,Gujarat
ELEC01532,Tejas Singh,Mobiles & Tablets,Mobile Accessories,Noida,15-03-2020,North,25989.43,0.2,615.21,Uttar Pradesh
ELEC04793,Jaya Mishra,Wearables & Fitness,Fitness Bands,Bengaluru,15-03-2020,South,29866.27,0.15,3892.33,Karnataka
ELEC03914,Jaya Krishnan,Mobiles & Tablets,Tablets,Kochi,15-03-2020,South,42141.76,0.3,-4475.41,Kerala
ELEC00211,Poonam Kapoor,Gaming,Games & Software,Guwahati,16-03-2020,East,51501.71,0.1,519.97,Assam
ELEC04368,Ishan Pillai,Cameras & Photography,Action Cameras,Thiruvananthapuram,16-03-2020,South,90512.54,0.3,-2607.92,Kerala
ELEC01002,Rajan Patel,Gaming,Gaming Peripherals,Visakhapatnam,16-03-2020,South,56002.06,0.3,227.6,Andhra Pradesh
ELEC04923,Kunal Shah,Audio & Headphones,Earphones,Ahmedabad,16-03-2020,West,20329.54,0.35,-212.56,Gujarat
ELEC00998,Shruti Pillai,Home Appliances,Air Conditioners,Lucknow,16-03-2020,North,79594.42,0.1,3695.52,Uttar Pradesh
ELEC03167,Uday Sinha,Gaming,Gaming Consoles,Mumbai,16-03-2020,West,57729.88,0.3,-320.81,Maharashtra
ELEC00915,Sneha Shah,Televisions,LED TVs,Mumbai,16-03-2020,West,71874.49,0.4,-5825.06,Maharashtra
ELEC02702,Kiran Das,Televisions,OLED TVs,Nagpur,17-03-2020,West,124557.65,0.4,-11183.62,Maharashtra
ELEC02228,Priya Menon,Audio & Headphones,Earphones,Hyderabad,18-03-2020,South,9141.24,0.25,424.11,Telangana
